2. 읍·면·동별 세대 및 인구,,,,,,,,,,
,,,,,,,,,," (단위: 세대, 명) "
구   분,,,, 한   국   인  ,,,,,,
, 인 구 ,,, 세대 , 인  구 ,,, 인 구 ,,
, 계 , 남 , 여 ,, 계 , 남 , 여 , 계 , 남 , 여 
용 흥 리,424 ,205 ,219 ,120 ,424 ,205 ,219 ,0 ,0 ,0 
하귀 1리,1564 ,763 ,801 ,456 ,1564 ,763 ,801 ,0 ,0 ,0 
하귀 2리,2992 ,1489 ,1503 ,840 ,2992 ,1489 ,1503 ,0 ,0 ,0 
상 귀 리,346 ,183 ,163 ,105 ,346 ,183 ,163 ,0 ,0 ,0 
수 산 리,1112 ,556 ,556 ,315 ,1111 ,556 ,555 ,1 ,0 ,1 
소 길 리,301 ,151 ,150 ,82 ,301 ,151 ,150 ,0 ,0 ,0 
장 전 리,792 ,408 ,384 ,208 ,792 ,408 ,384 ,0 ,0 ,0 
금 덕 리,795 ,423 ,372 ,248 ,795 ,423 ,372 ,0 ,0 ,0 
고 성 리,799 ,384 ,415 ,236 ,799 ,384 ,415 ,0 ,0 ,0 
광령 1리,1346 ,681 ,665 ,352 ,1346 ,681 ,665 ,0 ,0 ,0 
광령 2리,413 ,215 ,198 ,139 ,413 ,215 ,198 ,0 ,0 ,0 
광령 3리,304 ,158 ,146 ,83 ,304 ,158 ,146 ,0 ,0 ,0 
구 좌 읍,19118 ,9220 ,9898 ,5350 ,19117 ,9219 ,9898 ,1 ,1 ,0 
동 복 리,689 ,332 ,357 ,211 ,689 ,332 ,357 ,0 ,0 ,0 
서김녕리,1653 ,763 ,890 ,467 ,1653 ,763 ,890 ,0 ,0 ,0 
동김녕리,2099 ,987 ,1112 ,590 ,2098 ,986 ,1112 ,1 ,1 ,0 
덕 천 리,331 ,175 ,156 ,92 ,331 ,175 ,156 ,0 ,0 ,0 
월 정 리,979 ,489 ,490 ,290 ,979 ,489 ,490 ,0 ,0 ,0 
행 원 리,1221 ,574 ,647 ,350 ,1221 ,574 ,647 ,0 ,0 ,0 
한 동 리,1779 ,858 ,921 ,462 ,1779 ,858 ,921 ,0 ,0 ,0 
평 대 리,1961 ,923 ,1038 ,557 ,1961 ,923 ,1038 ,0 ,0 ,0 
송 당 리,1159 ,577 ,582 ,307 ,1159 ,577 ,582 ,0 ,0 ,0 
세 화 리,2431 ,1201 ,1230 ,690 ,2431 ,1201 ,1230 ,0 ,0 ,0 
상 도 리,497 ,244 ,253 ,140 ,497 ,244 ,253 ,0 ,0 ,0 
하 도 리,2632 ,1278 ,1354 ,743 ,2632 ,1278 ,1354 ,0 ,0 ,0 
종 달 리,1687 ,819 ,868 ,451 ,1687 ,819 ,868 ,0 ,0 ,0 
조 천 읍,19342 ,9503 ,9839 ,5359 ,19337 ,9500 ,9837 ,5 ,3 ,2 
신 촌 리,3754 ,1883 ,1871 ,1040 ,3752 ,1882 ,1870 ,2 ,1 ,1 
조 천 리,5070 ,2456 ,2614 ,1421 ,5070 ,2456 ,2614 ,0 ,0 ,0 
신 흥 리,765 ,376 ,389 ,208 ,765 ,376 ,389 ,0 ,0 ,0 
함 덕 리,5670 ,2762 ,2908 ,1533 ,5669 ,2761 ,2908 ,1 ,1 ,0 
북 촌 리,1418 ,699 ,719 ,406 ,1418 ,699 ,719 ,0 ,0 ,0 
선흘 1리,797 ,395 ,402 ,208 ,797 ,395 ,402 ,0 ,0 ,0 
선흘 2리,264 ,130 ,134 ,86 ,262 ,129 ,133 ,2 ,1 ,1 
와 산 리,347 ,172 ,175 ,100 ,347 ,172 ,175 ,0 ,0 ,0 
대흘 1리,237 ,104 ,133 ,64 ,237 ,104 ,133 ,0 ,0 ,0 
대흘 2리,306 ,163 ,143 ,83 ,306 ,163 ,143 ,0 ,0 ,0 
와 흘 리,437 ,221 ,216 ,126 ,437 ,221 ,216 ,0 ,0 ,0 
교 래 리,277 ,142 ,135 ,84 ,277 ,142 ,135 ,0 ,0 ,0 
한 경 면,11700 ,5665 ,6035 ,3444 ,11696 ,5663 ,6033 ,4 ,2 ,2 
판 포 리,806 ,380 ,426 ,247 ,806 ,380 ,426 ,0 ,0 ,0 
금 등 리,204 ,102 ,102 ,58 ,204 ,102 ,102 ,0 ,0 ,0 
두 모 리,657 ,330 ,327 ,213 ,657 ,330 ,327 ,0 ,0 ,0 
신 창 리,1204 ,591 ,613 ,345 ,1203 ,590 ,613 ,1 ,1 ,0 
용 당 리,403 ,183 ,220 ,130 ,403 ,183 ,220 ,0 ,0 ,0 
한 원 리,424 ,186 ,238 ,136 ,424 ,186 ,238 ,0 ,0 ,0 
낙 천 리,269 ,132 ,137 ,78 ,269 ,132 ,137 ,0 ,0 ,0 
조수 1리,993 ,505 ,488 ,293 ,993 ,505 ,488 ,0 ,0 ,0 
조수 2리,189 ,95 ,94 ,54 ,189 ,95 ,94 ,0 ,0 ,0 
청 수 리,577 ,291 ,286 ,174 ,577 ,291 ,286 ,0 ,0 ,0 
저 지 리,1269 ,613 ,656 ,343 ,1269 ,613 ,656 ,0 ,0 ,0 
고산 1리,2443 ,1163 ,1280 ,700 ,2440 ,1162 ,1278 ,3 ,1 ,2 
고산 2리,886 ,425 ,461 ,256 ,886 ,425 ,461 ,0 ,0 ,0 
산 양 리,692 ,347 ,345 ,206 ,692 ,347 ,345 ,0 ,0 ,0 
용 수 리,684 ,322 ,362 ,211 ,684 ,322 ,362 ,0 ,0 ,0 
추 자 면,3670 ,1833 ,1837 ,1013 ,3670 ,1833 ,1837 ,0 ,0 ,0 
대 서 리,1575 ,826 ,749 ,429 ,1575 ,826 ,749 ,0 ,0 ,0 
영 흥 리,766 ,384 ,382 ,200 ,766 ,384 ,382 ,0 ,0 ,0 
묵리,371 ,191 ,180 ,101 ,371 ,191 ,180 ,0 ,0 ,0 
예 초 리,314 ,140 ,174 ,99 ,314 ,140 ,174 ,0 ,0 ,0 
신양 1리,481 ,221 ,260 ,133 ,481 ,221 ,260 ,0 ,0 ,0 
신양 2리,163 ,71 ,92 ,51 ,163 ,71 ,92 ,0 ,0 ,0 
우 도 면,2243 ,1032 ,1211 ,621 ,2243 ,1032 ,1211 ,0 ,0 ,0 
서 광 리,464 ,222 ,242 ,128 ,464 ,222 ,242 ,0 ,0 ,0 
천 진 리,493 ,238 ,255 ,143 ,493 ,238 ,255 ,0 ,0 ,0 
조 일 리,544 ,250 ,294 ,148 ,544 ,250 ,294 ,0 ,0 ,0 
오 봉 리,742 ,322 ,420 ,202 ,742 ,322 ,420 ,0 ,0 ,0 
남제주군,83153 ,40919 ,42234 ,22566 ,83135 ,40908 ,42227 ,18 ,11 ,7 
대 정 읍,20745 ,10109 ,10636 ,5881 ,20731 ,10101 ,10630 ,14 ,8 ,6 
상모 1리,887 ,424 ,463 ,243 ,887 ,424 ,463 ,0 ,0 ,0 
상모 2리,2133 ,1044 ,1089 ,605 ,2133 ,1044 ,1089 ,0 ,0 ,0 
상모 3리,1071 ,529 ,542 ,309 ,1068 ,527 ,541 ,3 ,2 ,1 
하모 1리,461 ,222 ,239 ,131 ,461 ,222 ,239 ,0 ,0 ,0 
하모 2리,2977 ,1418 ,1559 ,825 ,2970 ,1414 ,1556 ,7 ,4 ,3 
하모 3리,3104 ,1521 ,1583 ,895 ,3100 ,1519 ,1581 ,4 ,2 ,2 
동일 1리,859 ,415 ,444 ,238 ,859 ,415 ,444 ,0 ,0 ,0 
동일 2리,134 ,74 ,60 ,40 ,134 ,74 ,60 ,0 ,0 ,0 
일과 1리,667 ,340 ,327 ,190 ,667 ,340 ,327 ,0 ,0 ,0 
일과 2리,592 ,275 ,317 ,170 ,592 ,275 ,317 ,0 ,0 ,0 
인 성 리,838 ,404 ,434 ,231 ,838 ,404 ,434 ,0 ,0 ,0 
안 성 리,441 ,227 ,214 ,121 ,441 ,227 ,214 ,0 ,0 ,0 
보 성 리,710 ,345 ,365 ,192 ,710 ,345 ,365 ,0 ,0 ,0 
신 평 리,589 ,282 ,307 ,161 ,589 ,282 ,307 ,0 ,0 ,0 
구 억 리,449 ,235 ,214 ,118 ,449 ,235 ,214 ,0 ,0 ,0 
가 파 리,639 ,331 ,308 ,200 ,639 ,331 ,308 ,0 ,0 ,0 
마 라 리,64 ,34 ,30 ,26 ,64 ,34 ,30 ,0 ,0 ,0 
영 락 리,1016 ,493 ,523 ,283 ,1016 ,493 ,523 ,0 ,0 ,0 
무릉 1리,1055 ,524 ,531 ,313 ,1055 ,524 ,531 ,0 ,0 ,0 
무릉 2리,719 ,336 ,383 ,211 ,719 ,336 ,383 ,0 ,0 ,0 
신도 1리,645 ,283 ,362 ,185 ,645 ,283 ,362 ,0 ,0 ,0 
신도 2리,365 ,187 ,178 ,103 ,365 ,187 ,178 ,0 ,0 ,0 
신도 3리,330 ,166 ,164 ,91 ,330 ,166 ,164 ,0 ,0 ,0 
남 원 읍,21833 ,10809 ,11024 ,5578 ,21832 ,10809 ,11023 ,1 ,0 ,1 
신흥 1리,1265 ,619 ,646 ,342 ,1265 ,619 ,646 ,0 ,0 ,0 
신흥 2리,717 ,356 ,361 ,187 ,717 ,356 ,361 ,0 ,0 ,0 
태흥 1리,997 ,491 ,506 ,270 ,997 ,491 ,506 ,0 ,0 ,0 
태흥 2리,1630 ,804 ,826 ,392 ,1630 ,804 ,826 ,0 ,0 ,0 
태흥 3리,610 ,315 ,295 ,181 ,610 ,315 ,295 ,0 ,0 ,0 
의 귀 리,1373 ,676 ,697 ,340 ,1373 ,676 ,697 ,0 ,0 ,0 
수 망 리,401 ,190 ,211 ,103 ,401 ,190 ,211 ,0 ,0 ,0 
한 남 리,469 ,226 ,243 ,116 ,469 ,226 ,243 ,0 ,0 ,0 
남원 1리,3274 ,1627 ,1647 ,859 ,3273 ,1627 ,1646 ,1 ,0 ,1 
남원 2리,701 ,342 ,359 ,161 ,701 ,342 ,359 ,0 ,0 ,0 
위미 1리,2166 ,1093 ,1073 ,544 ,2166 ,1093 ,1073 ,0 ,0 ,0 
위미 2리,2949 ,1464 ,1485 ,761 ,2949 ,1464 ,1485 ,0 ,0 ,0 
위미 3리,374 ,179 ,195 ,99 ,374 ,179 ,195 ,0 ,0 ,0 
신례 1리,1920 ,942 ,978 ,456 ,1920 ,942 ,978 ,0 ,0 ,0 
신례 2리,766 ,385 ,381 ,197 ,766 ,385 ,381 ,0 ,0 ,0 
하례 1리,1481 ,747 ,734 ,359 ,1481 ,747 ,734 ,0 ,0 ,0 
